id,producent_id,hodnota,jednotka,uroven,zdroj,poznamka
84,365,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
85,366,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
86,367,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
87,368,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
88,370,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
89,371,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
90,398,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
91,399,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
92,400,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
93,414,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
94,415,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
95,416,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
96,418,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
97,419,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
98,420,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
99,421,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
100,422,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
101,424,349.0,lôžko,typova,"Eurostat hlth_rs_bds: 31 422 postelí (2019) / 90 nemocníc (MF SR, Revízia výdavkov na nemocnice 2025)","Priemer na nemocnicu; fakultné nemocnice majú vyše 1 000 postelí, malé pod 100."
102,425,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
103,426,226.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: 468 540 žiakov / 2 070 ZŠ (2021/22)","Aritmetický priemer; malotriedky majú desiatky, sídliskové ZŠ vyše 800 žiakov."
104,427,56.0,dieťa,typova,"CVTI SR, Vývojové tendencie 2022: 173 170 detí / 3 102 MŠ (2021/22)",Aritmetický priemer na zariadenie; skutočné MŠ sa pohybujú od 20 do 250 detí.
