ico,nazov,obec,okres,kraj,sektor,typ_nazov,kapacita,kapacita_jednotka,kapacita_uroven,odpad,katalogove_cislo_navrh,t_rok_min,t_rok_stred,t_rok_max
17050197,Gymnázium Karola Štúra,Modra,Pezinok,Bratislavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
17050227,Gymnázium Janka Jesenského,Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
17053846,"Stredná odborná škola podnikania a služieb, Hattalova 968/33, Námestovo",Námestovo,Námestovo,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
17053871,Stredná odborná škola kaderníctva a vizážistiky,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
17070503,"Základná škola s materskou školou pri zdravotníckom zariadení, Bardejovské kúpele 13",Bardejov,Bardejov,Prešovský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
17078482,"Stredná odborná škola gastronómie a služieb, Prešov",Prešov,Prešov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
17151341,Gymnázium Michalovce,Michalovce,Michalovce,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
30223423,"Spojená škola sv. Jozefa, Jašíkova 219, Turzovka",Turzovka,Čadca,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
30797969,Súkromné gymnázium ESPRIT,Bratislava,Bratislava I,Bratislavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
30847656,"Školská jedáleň pri 1. súkromnom gymnáziu, Bajkalská 20, Bratislava",Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
30853711,"Materská škola, Linzbothova 9847/18, Bratislava",Bratislava - mestská časť Podunajské Biskupice,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
30866065,"Základná škola s materskou školou, Pernek 285",Pernek,Malacky,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
30868645,Súkromná stredná odborná škola pedagogická a sociálna,Bratislava - mestská časť Karlova Ves,Bratislava IV,Bratislavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
31305288,Evanjelické gymnázium Jana Amosa Komenského,Košice,Košice I,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
31386563,Univerzitná nemocnica AGEL Milosrdní bratia s. r. o.,Bratislava,Bratislava I,Bratislavský,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
31745041,"Základná škola, Podzáhradná 51, Bratislava",Bratislava - mestská časť Podunajské Biskupice,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31748198,"Základná škola s materskou školou s VJM, Vetvárska 7, Bratislava",Bratislava - mestská časť Podunajské Biskupice,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31748201,"Základná škola, Biskupická 21, Bratislava",Bratislava - mestská časť Podunajské Biskupice,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31754929,"Základná škola, Černyševského 8, Bratislava",Bratislava - mestská časť Petržalka,Bratislava V,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31780741,"Základná škola, Bieloruská 1, Bratislava",Bratislava - mestská časť Podunajské Biskupice,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31787045,"Materská škola, Estónska 5207/3, Bratislava",Bratislava - mestská časť Podunajské Biskupice,Bratislava II,Bratislavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
31810268,"Základná škola s materskou školou, Kuchyňa 551",Kuchyňa,Malacky,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31810276,"Základná škola, Plavecký Štvrtok 351",Plavecký Štvrtok,Malacky,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31810292,"Základná škola, Školská ulica 7/19, Sološnica",Sološnica,Malacky,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31810543,"Základná škola s materskou školou, Budmerice 430",Budmerice,Pezinok,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31811523,"Materská škola, Hlavná 88, Gajary",Gajary,Malacky,Bratislavský,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
31816924,"Základná škola s materskou školou, Studienka 222",Studienka,Malacky,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31817025,"Základná škola s materskou školou, Vištuk 44",Vištuk,Pezinok,Bratislavský,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
31817033,"Školská jedáleň, Školská 257, Dunajská Lužná",Dunajská Lužná,Senec,Bratislavský,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
31897959,"Súkromná Spojená škola EDUCO, Námestovo",Námestovo,Námestovo,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
31908969,"Nemocnica s poliklinikou Brezno, n.o.",Brezno,Brezno,Banskobystrický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
35540915,"Špeciálna základná škola, Hviezdoslavova 164, Hrabušice",Hrabušice,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35541148,"Základná škola Mihálya Helmeczyho s VJM, Hunyadiho 1256/16, Kráľovský Chlmec",Kráľovský Chlmec,Trebišov,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35541253,"Základná škola, Školská 339/2, Michaľany",Michaľany,Trebišov,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35542756,"Školská jedáleň, Kežmarská 28, Košice",Košice - mestská časť Západ,Košice II,Košický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
35542764,"Školská jedáleň, Trebišovská 10, Košice",Košice - mestská časť Západ,Košice II,Košický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
35542772,"Školská jedáleň, Bernolákova 16, Košice",Košice - mestská časť Západ,Košice II,Košický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
35543647,"Základná škola, Pionierov 1, Rožňava",Rožňava,Rožňava,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35543752,"Základná škola Eugena Ruffinyho, Zimná 190/144, Dobšiná",Dobšiná,Rožňava,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35545666,"Školská jedáleň, Komenského 6, Sobrance",Sobrance,Sobrance,Košický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
35545674,"Školská jedáleň, Komenského 12, Sobrance",Sobrance,Sobrance,Košický,Gastro a stravovacie zariadenia,Školská jedáleň,226.0,stravník,typova,Kuchynský odpad zo školských jedální,20 01 08,1.932,2.362,3.435
35546069,"Základná škola, Z. Nejedlého 2, Spišská Nová Ves",Spišská Nová Ves,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35546484,"Základná škola, Mníšek nad Hnilcom 497",Mníšek nad Hnilcom,Gelnica,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35559420,"Materská škola, Budapeštianska 1, Košice",Košice - mestská časť Sídlisko Ťahanovce,Košice I,Košický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
35560321,Gymnázium sv. Edity Steinovej,Košice,Košice I,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
35564024,Stredná odborná škola pedagogická sv. Cyrila a Metoda,Košice - mestská časť Juh,Košice IV,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
35564113,"Základná škola, SNP 13, Spišské Vlachy",Spišské Vlachy,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35566451,"Materská škola, Hlavná ulica 3, Krompachy",Krompachy,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Materská škola,56.0,dieťa,typova,Kuchynský odpad zo školských jedální,20 01 08,1.257,1.536,2.234
35581000,"Psychiatrická nemocnica Michalovce, n. o.",Michalovce,Michalovce,Košický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
35582391,"Regionálna nemocnica Sobrance, n. o.",Sobrance,Sobrance,Košický,Gastro a stravovacie zariadenia,Nemocnica,349.0,lôžko,typova,Kuchynský odpad zo zdravotníckych a sociálnych zariadení,20 01 08,20.147,26.863,32.739
35630027,"Spojená škola, Školská 212, Sládkovičovo",Sládkovičovo,Galanta,Trnavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
35630043,"Spojená škola, Jatočná 4, Skalica",Skalica,Skalica,Trnavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
35984457,"Špeciálna základná škola, Za parkom 966, Veľký Krtíš",Veľký Krtíš,Veľký Krtíš,Banskobystrický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
35991593,"Základná škola M. R. Štefánika, Haličská cesta 1191/8, Lučenec",Lučenec,Lučenec,Banskobystrický,Gastro a stravovacie zariadenia,Základná škola,226.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.449,1.771,2.576
