ico,nazov,obec,okres,kraj,lat,lon,sektor,typ_nazov,odpad_kod,odpad,katalogove_cislo_navrh,pravny_status,sezonnost,uroven_dokazu
00160717,Gymnázium Antona Bernoláka,Námestovo,Námestovo,Žilinský,49.409512,19.480783,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00160792,Gymnázium Ružomberok,Ružomberok,Ružomberok,Žilinský,49.08187,19.302965,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00160792,Gymnázium Ružomberok,Ružomberok,Ružomberok,Žilinský,49.08187,19.302965,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00160792,Gymnázium Ružomberok,Ružomberok,Ružomberok,Žilinský,49.08187,19.302965,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00160792,Gymnázium Ružomberok,Ružomberok,Ružomberok,Žilinský,49.08187,19.302965,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00160865,Gymnázium Ľudovíta Štúra,Zvolen,Zvolen,Banskobystrický,48.576512,19.128476,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00160865,Gymnázium Ľudovíta Štúra,Zvolen,Zvolen,Banskobystrický,48.576512,19.128476,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00160865,Gymnázium Ľudovíta Štúra,Zvolen,Zvolen,Banskobystrický,48.576512,19.128476,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00160865,Gymnázium Ľudovíta Štúra,Zvolen,Zvolen,Banskobystrický,48.576512,19.128476,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00161021,Gymnázium Krompachy,Krompachy,Spišská Nová Ves,Košický,48.917127,20.873055,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00161021,Gymnázium Krompachy,Krompachy,Spišská Nová Ves,Košický,48.917127,20.873055,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00161021,Gymnázium Krompachy,Krompachy,Spišská Nová Ves,Košický,48.917127,20.873055,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00161021,Gymnázium Krompachy,Krompachy,Spišská Nová Ves,Košický,48.917127,20.873055,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00161098,Gymnázium Poprad,Poprad,Poprad,Prešovský,49.054152,20.29764,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00161098,Gymnázium Poprad,Poprad,Poprad,Prešovský,49.054152,20.29764,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00161098,Gymnázium Poprad,Poprad,Poprad,Prešovský,49.054152,20.29764,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00161098,Gymnázium Poprad,Poprad,Poprad,Prešovský,49.054152,20.29764,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00161101,Gymnázium Jána Adama Raymana,Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00161101,Gymnázium Jána Adama Raymana,Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00161101,Gymnázium Jána Adama Raymana,Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00161101,Gymnázium Jána Adama Raymana,Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00161110,Gymnázium Prešov,Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00161110,Gymnázium Prešov,Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00161110,Gymnázium Prešov,Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00161110,Gymnázium Prešov,Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00161144,Gymnázium Pavla Jozefa Šafárika,Rožňava,Rožňava,Košický,48.654392,20.531184,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00161144,Gymnázium Pavla Jozefa Šafárika,Rožňava,Rožňava,Košický,48.654392,20.531184,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00161144,Gymnázium Pavla Jozefa Šafárika,Rožňava,Rožňava,Košický,48.654392,20.531184,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00161144,Gymnázium Pavla Jozefa Šafárika,Rožňava,Rožňava,Košický,48.654392,20.531184,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00161268,Gymnázium Cyrila Daxnera,Vranov nad Topľou,Vranov nad Topľou,Prešovský,48.890524,21.680564,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00161268,Gymnázium Cyrila Daxnera,Vranov nad Topľou,Vranov nad Topľou,Prešovský,48.890524,21.680564,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00161268,Gymnázium Cyrila Daxnera,Vranov nad Topľou,Vranov nad Topľou,Prešovský,48.890524,21.680564,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00161268,Gymnázium Cyrila Daxnera,Vranov nad Topľou,Vranov nad Topľou,Prešovský,48.890524,21.680564,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00162787,"Stredná odborná škola pedagogická, Sokolská 6, Modra",Modra,Pezinok,Bratislavský,48.336443,17.308037,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00162787,"Stredná odborná škola pedagogická, Sokolská 6, Modra",Modra,Pezinok,Bratislavský,48.336443,17.308037,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00162787,"Stredná odborná škola pedagogická, Sokolská 6, Modra",Modra,Pezinok,Bratislavský,48.336443,17.308037,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00162787,"Stredná odborná škola pedagogická, Sokolská 6, Modra",Modra,Pezinok,Bratislavský,48.336443,17.308037,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00162809,"Stredná odborná škola pedagogická, Komenského 12, Lučenec",Lučenec,Lučenec,Banskobystrický,48.330282,19.664144,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00162809,"Stredná odborná škola pedagogická, Komenského 12, Lučenec",Lučenec,Lučenec,Banskobystrický,48.330282,19.664144,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00162809,"Stredná odborná škola pedagogická, Komenského 12, Lučenec",Lučenec,Lučenec,Banskobystrický,48.330282,19.664144,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00162809,"Stredná odborná škola pedagogická, Komenského 12, Lučenec",Lučenec,Lučenec,Banskobystrický,48.330282,19.664144,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00162817,"Stredná odborná škola pedagogická, SNP 509/116, Turčianske Teplice",Turčianske Teplice,Turčianske Teplice,Žilinský,48.862737,18.858728,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00162817,"Stredná odborná škola pedagogická, SNP 509/116, Turčianske Teplice",Turčianske Teplice,Turčianske Teplice,Žilinský,48.862737,18.858728,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00162817,"Stredná odborná škola pedagogická, SNP 509/116, Turčianske Teplice",Turčianske Teplice,Turčianske Teplice,Žilinský,48.862737,18.858728,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00162817,"Stredná odborná škola pedagogická, SNP 509/116, Turčianske Teplice",Turčianske Teplice,Turčianske Teplice,Žilinský,48.862737,18.858728,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00162825,"Stredná odborná škola pedagogická, Kmeťovo stromoradie 5, Prešov",Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00162825,"Stredná odborná škola pedagogická, Kmeťovo stromoradie 5, Prešov",Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00162825,"Stredná odborná škola pedagogická, Kmeťovo stromoradie 5, Prešov",Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00162825,"Stredná odborná škola pedagogická, Kmeťovo stromoradie 5, Prešov",Prešov,Prešov,Prešovský,49.000411,21.252273,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00162833,"Stredná odborná škola pedagogická, Bottova 15A, Levoča",Levoča,Levoča,Prešovský,49.025112,20.587999,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00162833,"Stredná odborná škola pedagogická, Bottova 15A, Levoča",Levoča,Levoča,Prešovský,49.025112,20.587999,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00162833,"Stredná odborná škola pedagogická, Bottova 15A, Levoča",Levoča,Levoča,Prešovský,49.025112,20.587999,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
