id,nazov,okres,kraj,lat,lon,typ
175,Tisovec,Rimavská Sobota,Banskobystrický,48.681,19.942023,village
176,Bojnice,Prievidza,Trenčiansky,48.78,18.581862,village
177,Dolný Harmanec,Banská Bystrica,Banskobystrický,48.815627,19.050931,village
178,Beluša,Púchov,Trenčiansky,49.066667,18.333333,town
179,Veľký Šariš,Prešov,Prešovský,49.05,21.2,village
180,Dobšiná,Rožňava,Košický,48.821028,20.364743,town
181,Snina,Snina,Prešovský,48.990062,22.155625,town
182,Malčice,Michalovce,Košický,48.577134,21.854297,village
183,Bratislava - mestská časť Petržalka,Bratislava V,Bratislavský,48.111346,17.110791,suburb
184,Pezinok,Pezinok,Bratislavský,48.285586,17.27028,town
185,Kuchyňa,Malacky,Bratislavský,48.405751,17.15852,village
186,Plavecký Štvrtok,Malacky,Bratislavský,48.374094,17.005391,village
187,Sološnica,Malacky,Bratislavský,48.465196,17.231969,village
188,Budmerice,Pezinok,Bratislavský,48.360397,17.405103,village
189,Gajary,Malacky,Bratislavský,48.468407,16.922298,village
190,Studienka,Malacky,Bratislavský,48.528061,17.136328,village
191,Vištuk,Pezinok,Bratislavský,48.334375,17.397091,village
192,Dunajská Lužná,Senec,Bratislavský,48.082194,17.263614,village
193,Horné Srnie,Trenčín,Trenčiansky,48.983333,18.1,village
194,Šaštín-Stráže,Senica,Trnavský,48.640447,17.149745,town
195,Kolárovo,Komárno,Nitriansky,47.91593,17.99042,town
196,Váhovce,Galanta,Trnavský,48.25,17.783333,village
197,Dolný Hričov,Žilina,Žilinský,49.233333,18.633333,village
198,Šurany,Nové Zámky,Nitriansky,48.086106,18.186834,town
199,Šenkvice,Pezinok,Bratislavský,48.299537,17.348321,village
200,Čechynce,Nitra,Nitriansky,48.25,18.166667,village
201,Nová Bošáca,Nové Mesto nad Váhom,Trenčiansky,48.747801,17.813354,okres_centroid
202,Beladice,Zlaté Moravce,Nitriansky,48.346006,18.296077,village
203,Pusté Sady,Galanta,Trnavský,48.311844,17.827826,village
204,Svinná,Trenčín,Trenčiansky,48.785155,18.161449,village
205,Kostolné,Myjava,Trenčiansky,48.736145,17.703515,village
206,Neded,Šaľa,Nitriansky,48.01844,17.974057,village
207,Šelpice,Trnava,Trnavský,48.43796,17.531812,village
208,Stará Ľubovňa,Stará Ľubovňa,Prešovský,49.297258,20.687317,town
209,Banská Bystrica,Banská Bystrica,Banskobystrický,48.738539,19.156869,city
210,Hrabušice,Spišská Nová Ves,Košický,48.977432,20.410809,village
211,Kráľovský Chlmec,Trebišov,Košický,48.416667,21.983333,town
212,Sobrance,Sobrance,Košický,48.742148,22.179139,town
213,Spišská Nová Ves,Spišská Nová Ves,Košický,48.943534,20.562964,town
214,Mníšek nad Hnilcom,Gelnica,Košický,48.8,20.8,village
215,Košice - mestská časť Sídlisko Ťahanovce,Košice I,Košický,48.756322,21.26885,suburb
216,Spišské Vlachy,Spišská Nová Ves,Košický,48.947914,20.797352,village
217,Sládkovičovo,Galanta,Trnavský,48.208208,17.644866,town
218,Rovinka,Senec,Bratislavský,48.1,17.233333,village
219,Dubová,Svidník,Prešovský,49.366667,21.433333,village
220,Dobrá Niva,Zvolen,Banskobystrický,48.473486,19.101794,village
221,Malacky,Malacky,Bratislavský,48.43475,17.020348,town
222,Dolný Ohaj,Nové Zámky,Nitriansky,48.08008,18.252347,village
223,Doľany,Pezinok,Bratislavský,48.414316,17.378144,village
224,Kráľová pri Senci,Senec,Bratislavský,48.195128,17.450829,village
225,Tesárske Mlyňany,Zlaté Moravce,Nitriansky,48.332164,18.350798,village
226,Veľký Krtíš,Veľký Krtíš,Banskobystrický,48.20896,19.349119,town
227,Sebechleby,Krupina,Banskobystrický,48.275107,18.952016,village
228,Trstená,Tvrdošín,Žilinský,49.363892,19.615641,town
229,Zvolenská Slatina,Zvolen,Banskobystrický,48.560709,19.260067,village
230,Halič,Lučenec,Banskobystrický,48.354442,19.573333,village
231,Vyhne,Žiar nad Hronom,Banskobystrický,48.505945,18.798587,village
232,Detva,Detva,Banskobystrický,48.544384,19.411609,town
233,Zohor,Malacky,Bratislavský,48.317496,16.982457,village
234,Piešťany,Piešťany,Trnavský,48.589897,17.821604,town
235,Vrbové,Piešťany,Trnavský,48.619531,17.723876,town
236,Červeník,Hlohovec,Trnavský,48.458044,17.75582,village
237,Tomášikovo,Galanta,Trnavský,48.079033,17.694329,village
238,Svätý Peter,Komárno,Nitriansky,47.846468,18.262893,village
239,Ilava,Ilava,Trenčiansky,49.0,18.233333,town
240,Toporec,Kežmarok,Prešovský,49.266667,20.5,village
241,Výrava,Medzilaborce,Prešovský,49.192976,22.004666,hamlet
242,Košice - mestská časť Staré Mesto,Bratislava I,Bratislavský,48.140553,17.112478,suburb
243,Slavošovce,Rožňava,Košický,48.716667,20.283333,village
244,Streda nad Bodrogom,Trebišov,Košický,48.366667,21.766667,village
245,Leopoldov,Hlohovec,Trnavský,48.444113,17.765415,village
246,Brestovany,Trnava,Trnavský,48.385557,17.690227,village
247,Veľký Grob,Galanta,Trnavský,48.254044,17.497245,village
248,Dechtice,Trnava,Trnavský,48.548052,17.595636,village
249,Vršatské Podhradie,Ilava,Trenčiansky,49.066667,18.15,village
250,Malinovo,Senec,Bratislavský,48.154124,17.291732,village
251,Skačany,Partizánske,Trenčiansky,48.661215,18.378466,village
252,Dolná Mariková,Považská Bystrica,Trenčiansky,49.25,18.366667,village
253,Kanianka,Prievidza,Trenčiansky,48.816667,18.583333,village
254,Trenčianske Teplice,Trenčín,Trenčiansky,48.90985,18.169101,village
255,Handlová,Prievidza,Trenčiansky,48.731432,18.762694,town
256,Dlhé Pole,Žilina,Žilinský,49.302948,18.629806,village
257,Breza,Námestovo,Žilinský,49.383333,19.4,village
258,Kláštor pod Znievom,Martin,Žilinský,48.97394,18.805725,village
259,Rosina,Žilina,Žilinský,49.183333,18.766667,village
260,Žakovce,Kežmarok,Prešovský,49.081721,20.39728,village
261,Oščadnica,Čadca,Žilinský,49.433333,18.883333,town
262,Sabinov,Sabinov,Prešovský,49.102044,21.100545,town
263,Veľký Slavkov,Poprad,Prešovský,49.093395,20.282281,village
264,Hranovnica,Poprad,Prešovský,48.987283,20.308073,village
265,Košeca,Ilava,Trenčiansky,49.016667,18.266667,village
266,Nesvady,Komárno,Nitriansky,47.929281,18.127526,village
267,Bánov,Nové Zámky,Nitriansky,48.048624,18.191323,village
268,Zbrojníky,Levice,Nitriansky,48.117035,18.702789,village
269,Kvakovce,Vranov nad Topľou,Prešovský,48.983333,21.683333,village
270,Dvory nad Žitavou,Nové Zámky,Nitriansky,47.994311,18.268975,village
271,Vlkas,Nové Zámky,Nitriansky,48.116667,18.283333,village
272,Parchovany,Trebišov,Košický,48.75,21.716667,village
273,Ladmovce,Trebišov,Košický,48.416667,21.783333,village
274,Trebišov,Trebišov,Košický,48.628622,21.720171,town
275,Jaklovce,Gelnica,Košický,48.873225,20.995106,village
276,Liptovský Peter,Liptovský Mikuláš,Žilinský,49.053383,19.735175,village
277,Kriváň,Detva,Banskobystrický,48.530221,19.444957,village
278,Selce,Banská Bystrica,Banskobystrický,48.766999,19.200351,village
279,Rimavská Sobota,Rimavská Sobota,Banskobystrický,48.383832,20.016302,town
280,Zeleneč,Trnava,Trnavský,48.332228,17.594315,village
281,Krajné,Myjava,Trenčiansky,48.700576,17.68716,village
282,Liptovské Matiašovce,Liptovský Mikuláš,Žilinský,49.166667,19.566667,village
283,Ivanka pri Nitre,Nitra,Nitriansky,48.233333,18.116667,village
284,Svit,Poprad,Prešovský,49.058236,20.196529,town
285,Rišňovce,Nitra,Nitriansky,48.369248,17.896178,village
286,Vinosady,Pezinok,Bratislavský,48.310552,17.29264,village
287,Ondrejovce,Levice,Nitriansky,48.137625,18.518794,village
288,Nižná Myšľa,Košice - okolie,Košický,48.623714,21.363905,village
289,Liptovský Ján,Liptovský Mikuláš,Žilinský,49.049582,19.680264,village
290,Vrútky,Martin,Žilinský,49.10886,18.92507,town
291,Horný Vadičov,Kysucké Nové Mesto,Žilinský,49.266667,18.883333,village
292,Kysucký Lieskovec,Kysucké Nové Mesto,Žilinský,49.333333,18.816667,village
293,Hruštín,Námestovo,Žilinský,49.316667,19.35,village
294,Východná,Liptovský Mikuláš,Žilinský,49.061229,19.894612,village
295,Fiľakovo,Lučenec,Banskobystrický,48.270503,19.821673,town
296,Hriňová,Detva,Banskobystrický,48.576422,19.525427,town
297,Rohovce,Dunajská Streda,Trnavský,47.996929,17.409561,village
298,Horné Saliby,Galanta,Trnavský,48.122648,17.752084,village
299,Moravany nad Váhom,Piešťany,Trnavský,48.602463,17.862269,village
300,Kopčany,Michalovce,Košický,48.583333,21.916667,village
301,Vinohrady nad Váhom,Galanta,Trnavský,48.300461,17.766113,village
302,Smolinské,Senica,Trnavský,48.683333,17.133333,village
303,Cífer,Trnava,Trnavský,48.315284,17.490022,village
304,Veľké Úľany,Galanta,Trnavský,48.162887,17.57621,village
305,Pata,Galanta,Trnavský,48.275779,17.825432,village
306,Čenkovce,Dunajská Streda,Trnavský,48.106207,17.433109,village
307,Dvorany nad Nitrou,Topoľčany,Nitriansky,48.489267,18.11335,village
308,Jatov,Nové Zámky,Nitriansky,48.128462,18.028264,village
309,Spišské Hanušovce,Kežmarok,Prešovský,49.331411,20.346897,village
310,Huncovce,Kežmarok,Prešovský,49.117868,20.378184,village
311,Vikartovce,Poprad,Prešovský,48.992835,20.154403,village
312,Smilno,Bardejov,Prešovský,49.383333,21.35,village
313,Lietava,Žilina,Žilinský,49.168923,18.676346,village
314,Svrčinovec,Čadca,Žilinský,49.387301,18.767884,okres_centroid
315,Smrečany,Liptovský Mikuláš,Žilinský,49.116667,19.65,village
316,Ochodnica,Kysucké Nové Mesto,Žilinský,49.35,18.783333,village
317,Korňa,Čadca,Žilinský,49.414,18.541,village
318,Budča,Zvolen,Banskobystrický,48.5743,19.065196,village
319,Cabaj-Čápor,Nitra,Nitriansky,48.245665,18.023092,village
320,Unín,Skalica,Trnavský,48.725737,17.215748,village
321,Brodské,Skalica,Trnavský,48.770797,17.20201,okres_centroid
322,Malá Čausa,Prievidza,Trenčiansky,48.794864,18.700866,village
323,Kamenica nad Cirochou,Humenné,Prešovský,48.933333,22.0,village
324,Plavecké Podhradie,Malacky,Bratislavský,48.481793,17.261951,village
325,Nový Tekov,Levice,Nitriansky,48.244126,18.517993,village
326,Báhoň,Pezinok,Bratislavský,48.309067,17.445245,village
327,Kamenná Poruba,Vranov nad Topľou,Prešovský,48.84859,21.648767,village
328,Dubovica,Sabinov,Prešovský,49.133333,20.966667,village
329,Machulince,Zlaté Moravce,Nitriansky,48.41125,18.433242,village
330,Petrovany,Prešov,Prešovský,48.91662,21.261603,village
331,Richnava,Gelnica,Košický,48.927875,20.917469,village
332,Horné Štitáre,Topoľčany,Nitriansky,48.526005,18.054942,village
333,Hronec,Brezno,Banskobystrický,48.80232,19.575561,village
