osm_id,nazov,nazov_norm,okres,kraj,typ,lon,lat
26036871,Ižkovce,izkovce,Michalovce,Košický,hamlet,21.95,48.55
26036872,Siladice,siladice,Hlohovec,Trnavský,village,17.740198,48.358798
26036873,Dolný Kubín,dolny kubin,Dolný Kubín,Žilinský,town,19.29539,49.218073
26036874,Poruba,poruba,Prievidza,Trenčiansky,village,18.593204,48.83244
26036875,Veľké Ludince,velke ludince,Levice,Nitriansky,village,18.516667,47.966667
26036876,Dechtice,dechtice,Trnava,Trnavský,village,17.595636,48.548052
26036877,Kanianka,kanianka,Prievidza,Trenčiansky,village,18.583333,48.816667
26036878,Veľký Lapáš,velky lapas,Nitra,Nitriansky,village,18.184747,48.291651
26036879,Dúbravy,dubravy,Detva,Banskobystrický,village,19.368169,48.587415
26036880,Vinica,vinica,Veľký Krtíš,Banskobystrický,village,19.122776,48.115084
26036881,Horné Pršany,horne prsany,Banská Bystrica,Banskobystrický,village,19.083333,48.7
26036882,Beniakovce,beniakovce,Košice - okolie,Košický,village,21.317161,48.769824
26036883,Vyhne,vyhne,Žiar nad Hronom,Banskobystrický,village,18.798587,48.505945
26036884,Trenčianske Teplice,trencianske teplice,Trenčín,Trenčiansky,village,18.169101,48.90985
26036885,Stupava,stupava,Malacky,Bratislavský,town,17.032746,48.273132
26036886,Hrubov,hrubov,Humenné,Prešovský,village,21.866667,49.1
26036887,Kolbovce,kolbovce,Stropkov,Prešovský,hamlet,21.716667,49.166667
26036888,Dlhé Klčovo,dlhe klcovo,Vranov nad Topľou,Prešovský,village,21.74113,48.809557
26036889,Hrnčiarske Zalužany,hrnciarske zaluzany,Poltár,Banskobystrický,village,19.872982,48.407932
26036890,Lesíček,lesicek,Prešov,Prešovský,village,21.381488,48.915895
26036891,Žehňa,zehna,Prešov,Prešovský,village,21.330769,48.921214
26036892,Beňadiková,benadikova,Liptovský Mikuláš,Žilinský,village,19.682267,49.076417
26036893,Nová Polianka,nova polianka,Svidník,Prešovský,hamlet,21.61935,49.287448
26036894,Veľké Zálužie,velke zaluzie,Nitra,Nitriansky,village,17.940569,48.308171
26036895,Veľká Lesná,velka lesna,Stará Ľubovňa,Prešovský,village,20.45,49.333333
26036896,Rožňava,roznava,Rožňava,Košický,town,20.531184,48.654392
26036897,Trstín,trstin,Trnava,Trnavský,village,17.464605,48.52696
26036898,Rybník,rybnik,Revúca,Banskobystrický,village,20.133912,48.550407
26036899,Padáň,padan,Dunajská Streda,Trnavský,village,17.684077,47.92787
26036900,Seniakovce,seniakovce,Prešov,Prešovský,hamlet,21.299424,48.822083
26036901,Veľký Meder,velky meder,Dunajská Streda,Trnavský,town,17.769367,47.855781
26036902,Klasov,klasov,Nitra,Nitriansky,village,18.257486,48.276782
26036903,Liptovský Hrádok,liptovsky hradok,Liptovský Mikuláš,Žilinský,town,19.727636,49.040349
26036904,Korejovce,korejovce,Svidník,Prešovský,hamlet,21.65,49.366667
26036905,Jovsa,jovsa,Michalovce,Košický,village,22.095365,48.819985
26036906,Zbyňov,zbynov,Žilina,Žilinský,village,18.648493,49.119525
26036907,Váhovce,vahovce,Galanta,Trnavský,village,17.783333,48.25
26036908,Vislava,vislava,Stropkov,Prešovský,village,21.666667,49.283333
26036909,Priekopa,priekopa,Sobrance,Košický,village,22.283333,48.75
26036910,Hankovce,hankovce,Bardejov,Prešovský,village,21.416667,49.2
26036911,Bystré,bystre,Vranov nad Topľou,Prešovský,village,21.55,49.016667
26036912,Dulovce,dulovce,Komárno,Nitriansky,village,18.272609,47.868868
26036913,Mládzovo,mladzovo,Poltár,Banskobystrický,hamlet,19.70491,48.437672
26036914,Budča,budca,Zvolen,Banskobystrický,village,19.065196,48.5743
26036915,Malý Slivník,maly slivnik,Prešov,Prešovský,village,21.266667,49.116667
26036916,Malcov,malcov,Bardejov,Prešovský,village,21.066667,49.3
26036917,Igram,igram,Senec,Bratislavský,village,17.465878,48.282615
26036918,Tornaľa,tornala,Revúca,Banskobystrický,town,20.323813,48.416769
26036919,Bystrany,bystrany,Spišská Nová Ves,Košický,village,20.759414,48.949084
26036920,Veľký Slavkov,velky slavkov,Poprad,Prešovský,village,20.282281,49.093395
26036922,Muránska Lehota,muranska lehota,Revúca,Banskobystrický,village,20.047849,48.727463
26036923,Veľké Blahovo,velke blahovo,Dunajská Streda,Trnavský,village,17.578496,48.01158
26036924,Slavošovce,slavosovce,Rožňava,Košický,village,20.283333,48.716667
26036925,Dežerice,dezerice,Bánovce nad Bebravou,Trenčiansky,village,18.213331,48.761706
26036926,Starý Hrádok,stary hradok,Levice,Nitriansky,hamlet,18.633333,48.15
26036928,Praha,praha,Lučenec,Banskobystrický,hamlet,19.508374,48.3633
26036929,Poľanovce,polanovce,Levoča,Prešovský,hamlet,20.85,49.033333
26036930,Horné Saliby,horne saliby,Galanta,Trnavský,village,17.752084,48.122648
26036931,Pastovce,pastovce,Levice,Nitriansky,village,18.758847,47.966969
26036932,Ratkovce,ratkovce,Hlohovec,Trnavský,village,17.721162,48.4681
26036933,Vyšný Hrušov,vysny hrusov,Humenné,Prešovský,village,22.014676,48.98541
26036934,Slatina,slatina,Levice,Nitriansky,village,18.90111,48.145755
26036935,Turcovce,turcovce,Humenné,Prešovský,village,21.85,49.05
26036936,Domaníky,domaniky,Krupina,Banskobystrický,hamlet,18.990811,48.264002
26036937,Kremnica,kremnica,Žiar nad Hronom,Banskobystrický,town,18.916667,48.7
26036938,Bojná,bojna,Topoľčany,Nitriansky,village,18.066667,48.583333
26036939,Stará Voda,stara voda,Gelnica,Košický,village,20.683333,48.8
26036940,Hermanovce,hermanovce,Prešov,Prešovský,village,21.016667,49.05
26036941,Nitrianske Pravno,nitrianske pravno,Prievidza,Trenčiansky,village,18.633333,48.866667
26036942,Biel,biel,Trebišov,Košický,village,22.05,48.416667
26036943,Muľa,mula,Veľký Krtíš,Banskobystrický,village,19.52593,48.193171
26036945,Oľšavka,olsavka,Spišská Nová Ves,Košický,hamlet,20.833333,48.966667
26036946,Gemerské Michalovce,gemerske michalovce,Rimavská Sobota,Banskobystrický,hamlet,20.216667,48.433333
26036947,Vyšný Žipov,vysny zipov,Vranov nad Topľou,Prešovský,village,21.583333,48.983333
26036948,Rimavská Seč,rimavska sec,Rimavská Sobota,Banskobystrický,village,20.23735,48.304087
26036949,Chynorany,chynorany,Partizánske,Trenčiansky,village,18.27348,48.609821
26036950,Maškovce,maskovce,Humenné,Prešovský,hamlet,22,49.016667
26036951,Vlachovo,vlachovo,Rožňava,Košický,village,20.412758,48.772252
26036952,Tisovec,tisovec,Rimavská Sobota,Banskobystrický,village,19.942023,48.681
26036953,Kečkovce,keckovce,Svidník,Prešovský,village,21.516667,49.383333
26036954,Lietava,lietava,Žilina,Žilinský,village,18.676346,49.168923
26036955,Šarišské Bohdanovce,sarisske bohdanovce,Prešov,Prešovský,village,21.317169,48.846
26036956,Bogliarka,bogliarka,Bardejov,Prešovský,hamlet,21.15,49.266667
26036957,Zlatno,zlatno,Zlaté Moravce,Nitriansky,village,18.313972,48.465644
26036958,Štôla,stola,Poprad,Prešovský,village,20.14214,49.091252
26036959,Predajná,predajna,Brezno,Banskobystrický,village,19.462852,48.813419
26036960,Kráľovský Chlmec,kralovsky chlmec,Trebišov,Košický,town,21.983333,48.416667
26036961,Ďurďoš,durdos,Vranov nad Topľou,Prešovský,village,21.533333,49.049419
26036962,Rovinka,rovinka,Senec,Bratislavský,village,17.233333,48.1
26036963,Dolné Obdokovce,dolne obdokovce,Nitra,Nitriansky,village,18.216667,48.316667
26036964,Kaľamenová,kalamenova,Turčianske Teplice,Žilinský,hamlet,18.778189,48.88849
26036965,Lechnica,lechnica,Kežmarok,Prešovský,village,20.4,49.383333
26036966,Tichý Potok,tichy potok,Sabinov,Prešovský,village,20.783333,49.15
26036967,Hrabová Roztoka,hrabova roztoka,Snina,Prešovský,hamlet,22.3,48.883333
26036968,Záskalie,zaskalie,Dolný Kubín,Žilinský,hamlet,19.302736,49.231965
26036969,Lom nad Rimavicou,lom nad rimavicou,Brezno,Banskobystrický,village,19.646316,48.642485
26036970,Pakostov,pakostov,Humenné,Prešovský,village,21.833333,49.1
26036971,Udavské,udavske,Humenné,Prešovský,village,21.958072,48.974395
26036972,Stránske,stranske,Žilina,Žilinský,village,18.720367,49.13136
26036973,Jakubovany,jakubovany,Sabinov,Prešovský,village,21.142545,49.107127
26036974,Brestovany,brestovany,Trnava,Trnavský,village,17.690227,48.385557
