id,producent_id,druh_odpadu_id,t_rok_min,t_rok_stred,t_rok_max,metoda,uroven_dokazu
146,586,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
147,587,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
148,588,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
149,589,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
150,590,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
151,591,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
152,592,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
153,593,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
154,594,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
155,595,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
156,596,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
157,597,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
158,598,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
159,599,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
160,600,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
161,601,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
162,602,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
163,603,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
164,604,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
165,605,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
166,606,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
167,607,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
168,608,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
169,609,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
170,610,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
171,611,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
172,612,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
173,613,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
174,615,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
175,616,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
176,617,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
177,618,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
178,619,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
179,620,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
180,621,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
181,622,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
182,624,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
183,625,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
184,626,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
185,627,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
186,628,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
187,629,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
188,631,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
189,632,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
190,633,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
191,634,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
192,635,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
193,636,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
194,637,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
195,642,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
