ico;nazov;obec;okres;typ_prevadzky;jednotka;hodnota;zdroj
00161021;Gymnázium Krompachy;Krompachy;Spišská Nová Ves;skola_stredna;žiak;;
00160270;Gymnázium M. R. Štefánika;Nové Mesto nad Váhom;Nové Mesto nad Váhom;skola_stredna;žiak;;
17151341;Gymnázium Michalovce;Michalovce;Michalovce;skola_stredna;žiak;;
00596680;Gymnázium Myjava;Myjava;Myjava;skola_stredna;žiak;;
00161144;Gymnázium Pavla Jozefa Šafárika;Rožňava;Rožňava;skola_stredna;žiak;;
00161098;Gymnázium Poprad;Poprad;Poprad;skola_stredna;žiak;;
00161110;Gymnázium Prešov;Prešov;Prešov;skola_stredna;žiak;;
00160792;Gymnázium Ružomberok;Ružomberok;Ružomberok;skola_stredna;žiak;;
35560321;Gymnázium sv. Edity Steinovej;Košice;Košice I;skola_stredna;žiak;;
00160865;Gymnázium Ľudovíta Štúra;Zvolen;Zvolen;skola_stredna;žiak;;
37958470;Katolícka spojená škola sv. Františka Assiského, Banská Štiavnica;Banská Štiavnica;Banská Štiavnica;skola_stredna;žiak;;
51206790;Kežmarské Gymnázium P. O. Hviezdoslava;Kežmarok;Kežmarok;skola_stredna;žiak;;
42319234;Premonštrátske gymnázium;Košice;Košice I;skola_stredna;žiak;;
42035261;Spojená škola Juraja Henischa, Slovenská 5, Bardejov;Bardejov;Bardejov;skola_stredna;žiak;;
42090598;Spojená škola Jána Vojtaššáka internátna, Levoča;Levoča;Levoča;skola_stredna;žiak;;
37909533;Spojená škola Kráľovnej pokoja, Na Závaží 2, Žilina;Žilina;Žilina;skola_stredna;žiak;;
42278236;Spojená škola Nitrianske Pravno;Nitrianske Pravno;Prievidza;skola_stredna;žiak;;
53200284;Spojená škola bl. biskupa Gojdiča, Bernolákova 21, Prešov;Prešov;Prešov;skola_stredna;žiak;;
42258120;Spojená škola de La Salle, Čachtická 14, Bratislava;Bratislava - mestská časť Rača;Bratislava III;skola_stredna;žiak;;
42089824;Spojená škola internátna, Levočská 24, Stará Ľubovňa;Stará Ľubovňa;Stará Ľubovňa;skola_stredna;žiak;;
42176182;Spojená škola sv. Františka z Assisi, Karloveská 32, Bratislava;Bratislava - mestská časť Karlova Ves;Bratislava IV;skola_stredna;žiak;;
30223423;Spojená škola sv. Jozefa, Jašíkova 219, Turzovka;Turzovka;Čadca;skola_stredna;žiak;;
37942743;Spojená škola sv. Jána Pavla II., Dlhé hony 3522/2, Poprad;Poprad;Poprad;skola_stredna;žiak;;
51906228;Spojená škola sv. Klementa Hofbauera internátna, Podolínec;Podolínec;Stará Ľubovňa;skola_stredna;žiak;;
52800318;Spojená škola, Dukelská 26/30, Giraltovce;Giraltovce;Svidník;skola_stredna;žiak;;
42243378;Spojená škola, J. A. Komenského 5, Rožňava;Rožňava;Rožňava;skola_stredna;žiak;;
53265301;Spojená škola, Jarmočná 108, Stará Ľubovňa;Stará Ľubovňa;Stará Ľubovňa;skola_stredna;žiak;;
35630043;Spojená škola, Jatočná 4, Skalica;Skalica;Skalica;skola_stredna;žiak;;
53242599;Spojená škola, Jána Bottu 31, Trnava;Trnava;Trnava;skola_stredna;žiak;;
37876899;Spojená škola, Letná ulica 3453/34, Poprad;Poprad;Poprad;skola_stredna;žiak;;
53242726;Spojená škola, Ostredková 10, Bratislava;Bratislava - mestská časť Ružinov;Bratislava II;skola_stredna;žiak;;
53242742;Spojená škola, Pankúchova 6, Bratislava;Bratislava - mestská časť Petržalka;Bratislava V;skola_stredna;žiak;;
36094234;Spojená škola, Školská 1087, Sládkovičovo;Sládkovičovo;Galanta;skola_stredna;žiak;;
35630027;Spojená škola, Školská 212, Sládkovičovo;Sládkovičovo;Galanta;skola_stredna;žiak;;
52206416;Stredná odborná škola Edith Steinovej, s.r.o.;Nové Mesto nad Váhom;Nové Mesto nad Váhom;skola_stredna;žiak;;
00159468;Stredná odborná škola agropotravinárska a technická;Kežmarok;Kežmarok;skola_stredna;žiak;;
00651117;Stredná odborná škola dopravná, Rosinská 3126/2, Žilina;Žilina;Žilina;skola_stredna;žiak;;
17078482;Stredná odborná škola gastronómie a služieb, Prešov;Prešov;Prešov;skola_stredna;žiak;;
00893331;Stredná odborná škola informačných technológií, Ostrovského 1, Košice;Košice - mestská časť Juh;Košice IV;skola_stredna;žiak;;
